"","ID","DOB","SEX","STATUS","NEUTER","ISTART","NSTART","IEND","NEND","HD","ED","CCL","LSA","MCT","OSA","HSA","PYO","UI","MC"
"162","GR073xx",2004-07-21,"Female","< 6 mo.",2005-01-05,NA,2007-03-26,NA,2007-04-25,NA,NA,NA,NA,NA,NA,NA,NA,"invalid",NA
"163","GR074xx",1996-07-01,"Female","< 6 mo.",1996-12-16,NA,2000-03-01,NA,2000-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","GR075xy",2011-06-20,"Male","< 6 mo.",2011-12-05,NA,2012-06-21,NA,2012-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","GR075xx",2006-12-19,"Female","< 6 mo.",2007-06-06,NA,2009-06-08,NA,2009-06-22,NA,NA,NA,"invalid",NA,NA,NA,NA,NA,NA
"166","GR076xy",2003-07-03,"Male","< 6 mo.",2003-12-19,NA,2009-04-13,NA,2009-04-29,NA,NA,"39815",NA,NA,NA,NA,NA,NA,NA
"167","GR077xy",2006-04-16,"Male","< 6 mo.",2006-10-02,NA,2007-05-14,NA,2007-09-12,"invalid","invalid",NA,NA,NA,NA,NA,NA,NA,NA
"168","GR076xx",1997-01-01,"Female","< 6 mo.",1997-06-20,NA,2002-02-27,NA,2002-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","GR077xx",2000-09-12,"Female","< 6 mo.",2001-03-01,NA,2003-11-05,NA,2012-05-02,NA,NA,"37869",NA,"38906",NA,NA,NA,NA,NA
"170","GR078xx",2002-10-09,"Female","< 6 mo.",2003-03-28,NA,2008-03-19,NA,2008-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","GR078xy",1998-09-01,"Male","< 6 mo.",1999-02-19,NA,2006-09-11,NA,2010-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","GR079xx",1996-04-13,"Female","< 6 mo.",1996-10-01,NA,2001-05-02,NA,2001-05-02,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","GR079xy",2004-11-24,"Male","< 6 mo.",2005-05-14,NA,2009-09-28,NA,2009-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","GR080xx",1997-11-11,"Female","< 6 mo.",1998-05-01,NA,2002-08-14,NA,2003-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","GR081xx",1998-10-03,"Female","< 6 mo.",1999-03-23,NA,2006-11-29,NA,2006-12-12,NA,NA,NA,"invalid",NA,NA,NA,NA,NA,NA
"176","GR080xy",1994-04-12,"Male","< 6 mo.",1994-10-01,NA,2001-02-12,NA,2001-02-12,"invalid",NA,"invalid",NA,NA,NA,NA,NA,NA,NA
"177","GR082xx",1994-12-05,"Female","< 6 mo.",1995-05-26,NA,2001-10-04,NA,2001-10-04,"invalid",NA,NA,NA,NA,NA,"37138",NA,NA,NA
"178","GR083xx",2006-05-02,"Female","< 6 mo.",2006-10-21,NA,2009-06-08,NA,2009-07-29,NA,NA,"39812",NA,NA,NA,NA,NA,NA,NA
"179","GR084xx",2001-02-03,"Female","< 6 mo.",2001-07-26,NA,2009-01-15,NA,2009-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","GR081xy",1997-09-27,"Male","< 6 mo.",1998-03-20,NA,2003-11-30,NA,2005-03-28,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","GR085xx",1994-06-25,"Female","< 6 mo.",1994-12-16,NA,2000-08-02,NA,2000-11-15,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","GR082xy",2004-11-02,"Male","< 6 mo.",2005-04-26,NA,2006-08-15,NA,2012-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","GR083xy",2004-11-08,"Male","< 6 mo.",2005-05-02,NA,2010-06-08,NA,2010-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","GR084xy",2007-10-25,"Male","< 6 mo.",2008-04-17,NA,2012-08-06,NA,2012-09-11,NA,NA,NA,NA,"41121",NA,NA,NA,NA,NA
"185","GR086xx",1998-02-19,"Female","< 6 mo.",1998-08-13,NA,2003-06-02,NA,2003-06-04,"37681",NA,NA,NA,NA,NA,NA,NA,"invalid",NA
"186","GR087xx",2002-05-17,"Female","< 6 mo.",2002-11-08,NA,2007-07-03,NA,2007-07-14,NA,NA,NA,"invalid",NA,NA,NA,NA,NA,NA
"187","GR088xx",1994-11-06,"Female","< 6 mo.",1995-05-01,NA,2001-03-27,NA,2001-04-23,NA,NA,NA,"36963",NA,NA,NA,NA,NA,NA
"188","GR089xx",1999-03-21,"Female","< 6 mo.",1999-09-13,NA,2005-07-31,NA,2005-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","GR090xx",2000-05-09,"Female","< 6 mo.",2000-11-01,NA,2006-08-17,NA,2009-12-23,NA,NA,NA,NA,NA,NA,"40159",NA,NA,NA
"190","GR493xx",2009-06-15,"Female","< 6 mo.",2009-12-08,NA,2011-05-02,NA,2012-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","GR091xx",2002-10-29,"Female","< 6 mo.",2003-04-24,NA,2008-02-29,NA,2008-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","GR092xx",2004-06-05,"Female","< 6 mo.",2004-11-29,NA,2009-07-15,NA,2009-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","GR085xy",2003-09-02,"Male","< 6 mo.",2004-02-27,NA,2007-05-09,NA,2008-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","GR093xx",2002-07-01,"Female","< 6 mo.",2002-12-26,NA,2007-10-31,NA,2007-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","GR494xx",2002-03-10,"Female","< 6 mo.",2002-09-04,NA,2012-04-09,NA,2012-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","GR086xy",2006-04-21,"Male","< 6 mo.",2006-10-17,NA,2009-04-16,NA,2009-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","GR094xx",1999-06-20,"Female","< 6 mo.",1999-12-16,NA,2005-02-18,NA,2005-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","GR095xx",2002-04-04,"Female","< 6 mo.",2002-10-01,NA,2008-11-03,NA,2009-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","GR096xx",2006-12-03,"Female","< 6 mo.",2007-06-01,NA,2007-12-10,NA,2008-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","GR087xy",2008-09-23,"Male","< 6 mo.",2009-03-23,NA,2011-12-01,NA,2012-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","GR097xx",1998-09-01,"Female","< 6 mo.",1999-03-01,NA,2002-12-03,NA,2002-12-03,"37583",NA,NA,NA,NA,NA,NA,NA,"invalid",NA
"202","GR554xy",2003-01-25,"Male","< 6 mo.",2003-07-25,NA,2012-04-10,NA,2012-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","GR088xy",2000-09-17,"Male","< 6 mo.",2001-03-18,NA,2004-11-02,NA,2004-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","GR089xy",2002-10-01,"Male","< 6 mo.",2003-04-01,NA,2009-10-19,NA,2012-02-17,"39374",NA,"39998",NA,NA,NA,NA,NA,NA,NA
"205","GR090xy",2003-12-03,"Male","< 6 mo.",2004-06-02,NA,2005-09-01,NA,2012-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","GR091xy",1993-09-05,"Male","< 6 mo.",1994-03-06,NA,2000-01-31,NA,2000-09-08,NA,NA,NA,"36733",NA,NA,NA,NA,NA,NA
"207","GR092xy",2000-04-01,"Male","< 6 mo.",2000-09-30,NA,2008-03-05,NA,2008-05-09,"39569",NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","GR093xy",2000-04-04,"Male","< 6 mo.",2000-10-03,NA,2007-09-08,NA,2007-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","GR094xy",2000-12-01,"Male","< 6 mo.",2001-06-01,NA,2008-09-30,NA,2008-09-30,NA,NA,NA,"39665",NA,NA,NA,NA,NA,NA
"210","GR095xy",2001-03-01,"Male","< 6 mo.",2001-08-30,NA,2006-09-02,NA,2006-09-05,NA,NA,NA,NA,NA,NA,"38957",NA,NA,NA
"211","GR096xy",2001-10-08,"Male","< 6 mo.",2002-04-08,NA,2008-07-30,NA,2008-07-30,NA,NA,NA,"39650",NA,NA,NA,NA,NA,NA
"212","GR097xy",2001-10-08,"Male","< 6 mo.",2002-04-08,NA,2008-07-30,NA,2008-07-30,NA,NA,NA,"39650",NA,NA,NA,NA,NA,NA
"213","GR098xx",2001-02-20,"Female","< 6 mo.",2001-08-21,NA,2003-01-13,NA,2004-02-04,NA,NA,"37561",NA,NA,NA,NA,NA,NA,NA
"214","GR098xy",2001-11-20,"Male","< 6 mo.",2002-05-21,NA,2009-07-31,NA,2009-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","GR099xx",2001-06-01,"Female","< 6 mo.",2001-11-30,NA,2008-12-10,NA,2011-04-15,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","GR099xy",2004-04-04,"Male","< 6 mo.",2004-10-03,NA,2005-08-17,NA,2005-11-01,"38504",NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","GR100xx",2003-04-14,"Female","< 6 mo.",2003-10-13,NA,2009-07-16,NA,2009-07-16,NA,NA,NA,"39980",NA,NA,NA,NA,NA,NA
"218","GR100xy",2004-11-21,"Male","< 6 mo.",2005-05-22,NA,2009-07-30,NA,2012-02-23,"40022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","GR101xx",2004-09-15,"Female","< 6 mo.",2005-03-16,NA,2008-12-09,NA,2009-03-30,"39425",NA,"39425",NA,NA,NA,NA,NA,NA,NA
"220","GR101xy",2005-03-29,"Male","< 6 mo.",2005-09-27,NA,2009-06-18,NA,2009-06-18,NA,NA,NA,"39972",NA,NA,NA,NA,NA,NA
"221","GR102xx",2004-11-01,"Female","< 6 mo.",2005-05-02,NA,2010-08-25,NA,2010-08-25,"38657",NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","GR102xy",2005-08-17,"Male","< 6 mo.",2006-02-15,NA,2009-05-26,NA,2010-02-01,NA,NA,NA,NA,NA,"invalid",NA,NA,NA,NA
"223","GR103xx",2007-11-01,"Female","< 6 mo.",2008-05-01,NA,2009-01-12,NA,2009-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","GR103xy",2005-10-30,"Male","< 6 mo.",2006-04-30,NA,2007-06-27,NA,2007-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","GR104xx",1999-03-03,"Female","< 6 mo.",1999-09-01,NA,2007-02-13,NA,2007-02-15,"39126",NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","GR104xy",2008-06-08,"Male","< 6 mo.",2008-12-07,NA,2009-08-05,NA,2009-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","GR105xx",1999-10-27,"Female","< 6 mo.",2000-04-26,NA,2008-01-28,NA,2011-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","GR105xy",2008-12-01,"Male","< 6 mo.",2009-06-01,NA,2009-12-07,NA,2009-12-07,"40154",NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","GR106xx",2000-06-15,"Female","< 6 mo.",2000-12-14,NA,2009-01-25,NA,2009-01-25,NA,NA,NA,NA,NA,NA,"invalid",NA,NA,NA
"230","GR106xy",2010-08-09,"Male","< 6 mo.",2011-02-07,NA,2011-08-09,NA,2011-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","GR107xx",2000-08-04,"Female","< 6 mo.",2001-02-02,NA,2008-01-02,NA,2008-01-24,NA,NA,NA,NA,"39426",NA,NA,NA,NA,NA
"232","GR107xy",2003-07-01,"Male","< 6 mo.",2003-12-30,NA,2007-03-01,NA,2008-11-20,NA,NA,NA,"38749",NA,NA,NA,NA,NA,NA
"233","GR108xx",2000-08-14,"Female","< 6 mo.",2001-02-12,NA,2001-10-01,NA,2001-10-01,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","GR109xx",2001-03-08,"Female","< 6 mo.",2001-09-06,NA,2007-01-07,NA,2007-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","GR110xx",2001-05-20,"Female","< 6 mo.",2001-11-18,NA,2006-03-07,NA,2006-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","GR111xx",2003-05-01,"Female","< 6 mo.",2003-10-30,NA,2008-08-07,NA,2009-07-21,NA,NA,NA,"39667",NA,NA,NA,NA,NA,NA
"237","GR112xx",2003-07-01,"Female","< 6 mo.",2003-12-30,NA,2005-01-24,NA,2005-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","GR113xx",2005-02-26,"Female","< 6 mo.",2005-08-27,NA,2006-08-28,NA,2006-09-21,"invalid","invalid",NA,NA,NA,NA,NA,NA,NA,NA
"239","GR114xx",2006-04-21,"Female","< 6 mo.",2006-10-20,NA,2007-06-27,NA,2007-06-27,"39260",NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","GR115xx",2007-07-01,"Female","< 6 mo.",2007-12-30,NA,2009-11-23,NA,2009-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","GR108xy",2001-12-16,"Male","6 - 11 mo.",2002-06-17,NA,2010-04-28,NA,2010-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","GR109xy",1999-01-26,"Male","6 - 11 mo.",1999-07-29,NA,2004-07-24,NA,2006-08-12,NA,NA,NA,"38178",NA,NA,NA,NA,NA,NA
"243","GR116xx",2001-03-19,"Female","6 - 11 mo.",2001-09-19,NA,2007-09-10,NA,2008-02-05,NA,NA,"39267",NA,NA,NA,NA,NA,NA,NA
"244","GR117xx",2006-09-25,"Female","6 - 11 mo.",2007-03-28,NA,2008-02-07,NA,2011-03-07,NA,NA,NA,NA,NA,"39554",NA,NA,NA,NA
"245","GR118xx",2007-04-01,"Female","6 - 11 mo.",2007-10-02,NA,2008-08-05,NA,2008-08-19,NA,NA,NA,NA,NA,NA,NA,NA,"invalid",NA
"246","GR496xx",2005-08-28,"Female","6 - 11 mo.",2006-02-28,NA,2010-02-19,NA,2010-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","GR497xx",1994-07-01,"Female","6 - 11 mo.",1995-01-01,NA,2003-10-29,NA,2003-10-29,NA,NA,NA,NA,NA,NA,"37742",NA,NA,NA
"248","GR555xy",1991-07-01,"Male","6 - 11 mo.",1992-01-01,NA,2000-03-27,NA,2000-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","GR556xy",1991-07-01,"Male","6 - 11 mo.",1992-01-01,NA,2000-06-12,NA,2000-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","GR110xy",2006-02-05,"Male","6 - 11 mo.",2006-08-09,NA,2007-08-15,NA,2007-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","GR119xx",2000-09-01,"Female","6 - 11 mo.",2001-03-05,NA,2005-10-31,NA,2006-05-13,NA,"37560",NA,NA,NA,NA,NA,NA,NA,NA
"252","GR499xx",1994-12-04,"Female","6 - 11 mo.",1995-06-07,NA,2004-10-25,NA,2005-02-02,NA,NA,"38285",NA,NA,NA,NA,NA,NA,NA
"253","GR111xy",2003-01-09,"Male","6 - 11 mo.",2003-07-14,NA,2009-07-06,NA,2011-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","GR112xy",2008-08-10,"Male","6 - 11 mo.",2009-02-12,NA,2012-08-05,NA,2012-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","GR113xy",2006-07-01,"Male","6 - 11 mo.",2007-01-03,NA,2008-01-23,NA,2009-01-08,"invalid","invalid",NA,NA,"39798",NA,NA,NA,NA,NA
"256","GR120xx",2003-10-18,"Female","6 - 11 mo.",2004-04-21,NA,2009-01-28,NA,2009-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","GR114xy",1997-01-17,"Male","6 - 11 mo.",1997-07-23,NA,2004-02-26,NA,2004-05-05,NA,NA,NA,NA,"38021",NA,NA,NA,NA,NA
"258","GR501xx",2005-06-28,"Female","6 - 11 mo.",2006-01-01,NA,2008-12-02,NA,2010-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","GR115xy",2000-07-21,"Male","6 - 11 mo.",2001-01-25,NA,2001-08-01,NA,2001-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","GR116xy",2003-07-02,"Male","6 - 11 mo.",2004-01-06,NA,2010-11-29,NA,2010-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","GR117xy",2007-03-18,"Male","6 - 11 mo.",2007-09-22,NA,2008-10-21,NA,2008-10-21,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","GR118xy",2000-02-11,"Male","6 - 11 mo.",2000-08-18,NA,2005-02-23,NA,2005-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","GR119xy",2009-01-19,"Male","6 - 11 mo.",2009-07-27,NA,2011-11-16,NA,2012-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","GR120xy",2010-07-13,"Male","6 - 11 mo.",2011-01-18,NA,2011-07-20,NA,2011-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","GR121xx",2000-04-06,"Female","6 - 11 mo.",2000-10-12,NA,2002-07-29,NA,2002-07-31,NA,"37375",NA,NA,NA,NA,NA,NA,NA,NA
"266","GR122xx",2001-09-06,"Female","6 - 11 mo.",2002-03-14,NA,2008-09-03,NA,2008-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","GR123xx",2004-09-13,"Female","6 - 11 mo.",2005-03-21,NA,2007-05-14,NA,2007-05-14,NA,NA,"invalid",NA,NA,NA,NA,NA,NA,NA
"268","GR124xx",2009-04-09,"Female","6 - 11 mo.",2009-10-15,NA,2010-12-01,NA,2010-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","GR125xx",2009-12-20,"Female","6 - 11 mo.",2010-06-27,NA,2011-01-03,NA,2011-01-03,"40819",NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","GR126xx",2000-08-01,"Female","6 - 11 mo.",2001-02-07,NA,2008-08-12,NA,2008-08-12,NA,NA,NA,"39658",NA,NA,NA,NA,NA,NA
"271","GR127xx",2001-09-20,"Female","6 - 11 mo.",2002-03-29,NA,2009-12-02,NA,2009-12-02,NA,NA,NA,"40146",NA,NA,NA,NA,NA,NA
"272","GR128xx",2003-05-01,"Female","6 - 11 mo.",2003-11-07,NA,2009-08-12,NA,2009-08-31,NA,NA,NA,"40035",NA,NA,NA,NA,NA,NA
"273","GR502xx",1999-10-11,"Female","6 - 11 mo.",2000-04-18,NA,2010-06-28,NA,2010-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","GR129xx",2000-11-01,"Female","6 - 11 mo.",2001-05-11,NA,2008-11-06,NA,2009-09-14,NA,NA,NA,NA,NA,"39602",NA,NA,NA,NA
"275","GR503xx",1990-01-17,"Female","6 - 11 mo.",1990-07-27,NA,2001-08-13,NA,2001-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","GR130xx",2005-05-24,"Female","6 - 11 mo.",2005-12-02,NA,2012-08-08,NA,2012-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","GR121xy",1995-12-10,"Male","6 - 11 mo.",1996-06-20,NA,2001-08-26,NA,2001-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","GR122xy",1997-10-17,"Male","6 - 11 mo.",1998-04-29,NA,2001-08-15,NA,2006-03-06,"invalid","invalid",NA,NA,NA,NA,NA,NA,NA,NA
"279","GR123xy",1999-10-16,"Male","6 - 11 mo.",2000-04-27,NA,2006-02-02,NA,2006-10-03,NA,NA,NA,"38738",NA,NA,NA,NA,NA,NA
"280","GR131xx",1998-08-19,"Female","6 - 11 mo.",1999-03-01,NA,2001-04-16,NA,2001-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","GR132xx",2004-10-06,"Female","6 - 11 mo.",2005-04-18,NA,2006-01-03,NA,2006-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","GR504xx",1997-02-27,"Female","6 - 11 mo.",1997-09-09,NA,2007-08-02,NA,2007-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","GR124xy",1996-06-28,"Male","6 - 11 mo.",1997-01-09,NA,2002-02-11,NA,2004-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","GR125xy",2001-05-10,"Male","6 - 11 mo.",2001-11-21,NA,2008-12-17,NA,2010-10-27,"invalid",NA,NA,"39496",NA,NA,NA,NA,NA,NA
"285","GR126xy",2009-11-04,"Male","6 - 11 mo.",2010-05-18,NA,2012-01-10,NA,2012-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","GR133xx",1995-12-15,"Female","6 - 11 mo.",1996-06-27,NA,2004-10-11,NA,2004-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","GR134xx",2002-05-14,"Female","6 - 11 mo.",2002-11-25,NA,2009-04-08,NA,2009-04-10,NA,NA,"39848",NA,NA,NA,NA,NA,NA,NA
"288","GR135xx",2006-04-22,"Female","6 - 11 mo.",2006-11-03,NA,2008-06-25,NA,2008-06-25,"39777","39624",NA,NA,NA,NA,NA,NA,NA,NA
"289","GR505xx",2001-08-23,"Female","6 - 11 mo.",2002-03-07,NA,2012-05-29,NA,2012-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","GR127xy",2001-07-05,"Male","6 - 11 mo.",2002-01-18,NA,2002-07-10,NA,2003-07-28,NA,"invalid",NA,NA,NA,NA,NA,NA,NA,NA
"291","GR128xy",1998-07-01,"Male","6 - 11 mo.",1999-01-14,NA,2001-02-28,NA,2001-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","GR136xx",1998-09-15,"Female","6 - 11 mo.",1999-03-31,NA,2003-05-19,NA,2003-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","GR506xx",1992-04-01,"Female","6 - 11 mo.",1992-10-15,NA,2003-02-20,NA,2003-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","GR129xy",2004-12-21,"Male","6 - 11 mo.",2005-07-07,NA,2008-04-09,NA,2008-06-11,NA,"39528","39425",NA,NA,NA,NA,NA,NA,NA
"295","GR137xx",1994-05-21,"Female","6 - 11 mo.",1994-12-05,NA,2000-11-29,NA,2000-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","GR138xx",1995-11-26,"Female","6 - 11 mo.",1996-06-11,NA,2000-09-05,NA,2000-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","GR130xy",2003-03-23,"Male","6 - 11 mo.",2003-10-08,NA,2006-10-04,NA,2006-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","GR139xx",2000-04-16,"Female","6 - 11 mo.",2000-11-01,NA,2004-08-12,NA,2004-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","GR140xx",2004-02-23,"Female","6 - 11 mo.",2004-09-10,NA,2008-04-21,NA,2009-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","GR508xx",2003-06-27,"Female","6 - 11 mo.",2004-01-13,NA,2012-12-03,NA,2012-12-20,NA,NA,NA,NA,NA,"41232",NA,NA,NA,NA
"301","GR141xx",2004-10-29,"Female","6 - 11 mo.",2005-05-18,NA,2007-12-10,NA,2007-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","GR142xx",2008-11-22,"Female","6 - 11 mo.",2009-06-12,NA,2011-08-14,NA,2011-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","GR509xx",2001-07-24,"Female","6 - 11 mo.",2002-02-11,NA,2011-02-28,NA,2011-08-30,NA,NA,"40582",NA,NA,NA,NA,NA,NA,NA
"304","GR131xy",2001-08-06,"Male","6 - 11 mo.",2002-02-25,NA,2010-04-27,NA,2012-12-19,NA,NA,NA,"41124",NA,NA,NA,NA,NA,NA
"305","GR143xx",2004-09-09,"Female","6 - 11 mo.",2005-03-31,NA,2006-04-10,NA,2006-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","GR511xx",1995-08-23,"Female","6 - 11 mo.",1996-03-13,NA,2005-06-14,NA,2005-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","GR132xy",2001-02-12,"Male","6 - 11 mo.",2001-09-04,NA,2008-04-30,NA,2008-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","GR144xx",2007-07-19,"Female","6 - 11 mo.",2008-02-08,NA,2011-10-04,NA,2011-10-18,NA,NA,NA,"40609",NA,NA,NA,NA,NA,NA
"309","GR133xy",1994-01-16,"Male","6 - 11 mo.",1994-08-09,NA,2000-08-23,NA,2000-08-23,NA,NA,NA,"36747",NA,NA,NA,NA,NA,NA
"310","GR134xy",1999-12-28,"Male","6 - 11 mo.",2000-07-20,NA,2001-02-05,NA,2001-02-05,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","GR135xy",2002-01-05,"Male","6 - 11 mo.",2002-07-29,NA,2007-10-22,NA,2008-02-27,"38135","38135",NA,NA,NA,NA,NA,NA,NA,NA
"312","GR136xy",2006-12-24,"Male","6 - 11 mo.",2007-07-17,NA,2008-04-14,NA,2011-05-13,"40158",NA,NA,NA,NA,NA,NA,NA,"invalid",NA
"313","GR145xx",1995-10-01,"Female","6 - 11 mo.",1996-04-23,NA,2000-06-03,NA,2000-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","GR146xx",1996-09-08,"Female","6 - 11 mo.",1997-04-01,NA,2002-08-12,NA,2008-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","GR512xx",1996-05-01,"Female","6 - 11 mo.",1996-11-22,NA,2008-04-22,NA,2008-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","GR513xx",2008-04-01,"Female","6 - 11 mo.",2008-10-23,NA,2010-09-16,NA,2011-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","GR514xx",1995-10-30,"Female","6 - 11 mo.",1996-05-22,NA,2004-12-16,NA,2004-12-29,NA,NA,NA,NA,NA,NA,"38337",NA,NA,NA
"318","GR137xy",1994-10-01,"Male","6 - 11 mo.",1995-04-25,NA,2003-05-15,NA,2006-07-11,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","GR147xx",2002-06-24,"Female","6 - 11 mo.",2003-01-16,NA,2009-03-10,NA,2009-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","GR148xx",2005-06-12,"Female","6 - 11 mo.",2006-01-04,NA,2006-10-30,NA,2006-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","GR138xy",2001-04-01,"Male","6 - 11 mo.",2001-10-25,NA,2004-05-25,NA,2010-03-10,"37831",NA,NA,NA,NA,NA,"40182",NA,NA,NA
